refid,unittitle,unitdate,container_type,container_label,extent,extent_desc,note_title,note_text,persname_1,persname_2,persname_3,persname_4
ref374,The Jungle Mapper,1996,Box,Computer disks / tapes (1996-ref374),2.0 objects,"One CD-R in plastic jewel case, on Hi-8 video cassette",On jewel label,"If possible, run from Enclosed floppy while CD is inserted","Hunt, Stuart",,,
ref376,The Tele-VRT Initiative,2003,Box,Computer disks / tapes (2003-ref376),1.0 object,One CD-R in paper sleeve,On disk,"HTTP://TELE-VRT.KSELECTED.COM, Process Demonstration","Russell, Timothy J.",,,
ref378,Floating Tones,2005,Box,Computer disks / tapes (2005-ref378),1.0 object,One CD-R in paper sleeve,On disk,"917 463 6446, sarit","Youdelevich, Sarit",,,
ref380,Children,2000,Box,Computer disks / tapes (2000-ref380),1.0 object,One CD-R in plastic jewel case,On jewel label,martybogert@earthlink.net,"Bogert, Martha",,,
ref382,Gramercy,1998,Box,Computer disks / tapes (1998-ref382),2.0 objects,One CD-R in plastic jewel case,On disk,paul@10base-t.com / 212 420 1052 (macintosh only),"DeGeorges, Paul",,,
ref384,Theater of Information: augmented reality in live dramatic theater,2004,Box,Computer disks / tapes (2004-ref384),1.0 object,One CD-R in plastic jewel case,,,"Guttman, Edward",,,
ref386,LOUNGESCENE,2001,Box,Computer disks / tapes (2001-ref386),1.0 object,One CD-R in plastic sleeve,,,"Harker, Julian",,,
ref388,Customized Video Display: Woman in Perfect Makeup,2004,Box,Computer disks / tapes (2004-ref388),1.0 object,One CD-R in plastic sleeve,,,"Chou, Fayi",,,
ref390,Mobile Cut-Ups,2006,Box,Computer disks / tapes (2006-ref390),1.0 object,One CD-R in plastic sleeve,,,"Yates, David",,,
ref392,Untitled Thesis (Ahmi Wolf),2004,Box,Computer disks / tapes (2004-ref392),1.0 object,One CD-R in paper sleeve,On disk,Thesis documentation,"Wolf, Ahmi",,,
ref394,"The Lion, the Witch, and the Wardrobe",2002,Box,Computer disks / tapes (2002-ref394),1.0 object,One CD-R in plastic sleeve,On disk,1) Trailer; 2) Mr. Tumnus Greetings; 3) Demo,"Gomez, Happy","Velmonte, Tisha",,
ref396,Chateau De Casino TM,1995,Box,Computer disks / tapes (1995-ref396),1.0 object,One CD-R in plastic jewel case,On disk,,"Hong, Soon Ho",,,
ref398,Color Therapy and New Yorker,2001,Box,Computer disks / tapes (2001-ref398),1.0 object,One CD-R in plastic jewel case,On jewel label,"Please Start ""index.html""","Honge, Masahiko",,,
ref192,Manipulated City,2001,Box,Computer disks / tapes (2001-ref192),1.0 object,One CD-R in plastic jewel case,,,"Yokoyama, Hidenori",,,
ref194,The Lower East Site,1999,Box,Computer disks / tapes (1999-ref194),1.0 object,One CD-R in plastic jewel case,,,"Ortiz, Maria",,,
ref196,no[w]here,2006,Box,Computer disks / tapes (2006-ref196),1.0 object,One CD-R in plastic jewel case,,,"Kato, Sawako",,,
ref198,Presence,2002,Box,Computer disks / tapes (2002-ref198),1.0 object,One CD-R in plastic jewel case,,,"Kfir, Zohar",,,
ref500,Double Take,2000,Box,Computer disks / tapes (2000-ref500),1.0 object,One CD-R in plastic jewel case,,,"Caplan, Rachel",,,
ref502,Home PC Security Tutorial,1999,Box,Computer disks / tapes (1999-ref502),1.0 object,One CD-R in plastic jewel case,,,"Sweeney, Thomas",,,
ref504,Orange,2005,Box,Computer disks / tapes (2005-ref504),1.0 object,One CD-R in plastic jewel case,,,"Silayan, Joey",,,
ref506,Sideshow.com,1998,Box,Computer disks / tapes (1998-ref506),1.0 object,One CD-R in plastic jewel case,,,"Kahl, Fred",,,
ref508,Annotate Space,2002,Box,Computer disks / tapes (2002-ref508),1.0 object,One CD-R in plastic jewel case,On disk,"Titled ""Orbital Thread,"" but contains documents for thesis ""Annotate Space.""","Moed, Andrea",,,
ref510,Untitled Thesis (Giselle Leal),2003,Box,Computer disks / tapes (2003-ref510),2.0 objects,Two CD-R in separate plastic jewel cases,,,"Leal, Giselle",,,
ref512,Voice: War and Terror,2003,Box,Computer disks / tapes (2003-ref512),1.0 object,One CD-R in plastic jewel case,,,"Azekawa, Hanako",,,
ref514,Interactive Live Painting,2003,Box,Computer disks / tapes (2003-ref514),1.0 object,One CD-R in plastic jewel case,,,"Nonaka, Maiko",,,
ref516,Distributed Digital Agents,2001,Box,Computer disks / tapes (2001-ref516),1.0 object,One CD-R in plastic jewel case,,,"Thompson, Mark",,,
ref518,The Terms of War,2000,Box,Computer disks / tapes (2000-ref518),1.0 object,One CD-R in plastic jewel case,,,"Juan, Jovi",,,
ref520,"Superheroes, Inc.",1997,Box,Computer disks / tapes (1997-ref520),1.0 object,One CD-R in plastic jewel case,,,"Sampson, Darron",,,
ref522,Gamingpeople.com,2000,Box,Computer disks / tapes (2000-ref522),1.0 object,One CD-R in plastic jewel case,,,"Beltrami, Maria",,,
ref524,Interactive Narrative,2002,Box,Computer disks / tapes (2002-ref524),1.0 object,One CD-RW in plastic jewel case,,,"Benton, John",,,
ref526,Theorizer,2006,Box,Computer disks / tapes (2006-ref526),1.0 object,One CD-R in plastic jewel case,,,"Subramanian , Ramakrishnan",,,
ref528,Untitled Thesis (Romy Achituv),2000,Box,Computer disks / tapes (2000-ref528),1.0 object,One CD-R in plastic jewel case,On sleeve,Has title but cannot read.,"Achituv, Romy",,,
ref530,H2O Project,1997,Box,Computer disks / tapes (1997-ref530),1.0 object,One CD-R in plastic jewel case,,,"Caroddo , Gina",,,
ref454,Interactive Still Images,2000,Box,Moving Images (2000-ref454),1.0 object,VHS cassette in original box sleeve,Cassette label,SID #991371848,"Liao, Jui-Te",,,
ref456,Seasons,1997,Box,Moving Images (1997-ref456),1.0 object,VHS cassette in original box sleeve,,,"Yee, Bennett",,,
ref458,The Silent Show with Sound,2000,Box,Moving Images (2000-ref458),1.0 object,VHS cassette in original box sleeve,,,"Jossen, Jade","Teitler, Sarah",,
ref460,Puppet Theater,1993,Box,Moving Images (1993-ref460),1.0 object,VHS cassette in original box sleeve,,,"Chiu, Yung-Fang",,,
ref462,Beam of Light: An Interactive 3D Scanner,2000,Box,Moving Images (2000-ref462),1.0 object,VHS cassette in original box sleeve,,,"Yaar, Arnon",,,
ref464,Untitled Thesis (Naiwon Hsu),1993,Box,Moving Images (1993-ref464),1.0 object,VHS cassette in original box sleeve,,,"Hsu, Nai-Won",,,
ref466,Cyber Succes,1997,Box,Moving Images (1997-ref466),1.0 object,VHS cassette in original box sleeve,,,"Swensen, Cindy",,,
ref468,The Lounge,1998,Box,Moving Images (1998-ref468),1.0 object,VHS cassette in original box sleeve,,,"Wang, Cathy",,,
ref470,Not Bill Vioia + Consumer EQ Christmas,1991,Box,Moving Images (1991-ref470),1.0 object,VHS cassette in original box sleeve,,,"Buchanan, John",,,
ref470,Not Bill Vioia + Consumer EQ Christmas / WINDOW / Being Time,1991,Box,Moving Images (1991-ref470),1.0 object,VHS cassette in original box sleeve,Box label,"Pat O’Hara’s Composite Video Tape - 00:00 - 1 minute and ten seconds of black, 01:10 - 17 minute presentation and explanation of WINDOW, the interactive multimedia television program, 18:00 - a brief introduction followed by the thirty minute linear version of [label damage] “Being Time” a study of time and being, 48:19 a four [label damage], 52:30 [label damage]","Buchanan, John",,,
ref472,Exercise Interactive,1992,Box,Moving Images (1992-ref472),1.0 object,VHS cassette in original box sleeve,,,"Wollman, Craig",,,
ref474,"Superheroes, Inc. :An Experiment into Dynamic Interactive Narratives",1997,Box,Moving Images (1997-ref474),1.0 object,VHS cassette in original box sleeve,,,"Sampson, Darron",,,
ref476,Musical Devices,1999,Box,Moving Images (1999-ref476),1.0 object,VHS cassette in original box sleeve,,,"Urist, Andrea",,,
ref478,Tech-1LA Hispanic Online Magazine,1995,Box,Moving Images (1995-ref478),1.0 object,VHS cassette in original box sleeve,,,"Rosenberg, Axel",,,
ref482,The Lumow Word Game,1988,Box,Moving Images (1988-ref482),1.0 object,VHS cassette in original plastic box,,,"Aspelund, Erling",,,
ref484,Emptiness,1992,Box,Moving Images (1992-ref484),1.0 object,VHS cassette in original plastic box,Box label,"VHS1: 5 Series, In Director 3.1 file, Mac, 1. In the Midst of Time, 2. Time is, 3. The Dancer, 4. The Hand, 5. The Shadow of Life","Won, Sohee",,,
ref486,European Forum: www.europeanforum.com,1998,Box,Moving Images (1998-ref486),1.0 object,VHS cassette in original plastic sleeve,,,"Seymour, Sabine",,,
ref488,The Musical Shower Instrument,1998,Box,Moving Images (1998-ref488),1.0 object,VHS cassette in original box sleeve,,,"Yang, Derhong",,,
ref490,Musica Interactive Video,1987,Box,Moving Images (1987-ref490),1.0 object,VHS cassette in original plastic sleeve,,,"Zayas, Hiram",,,
ref492,Shallow People/Deep City,2006,Box,Computer disks / tapes (2006-ref492),1.0 object,One CD-R in plastic jewel case,,,"Bergfeld, Lasse",,,
ref494,www.rutigliano.com,1997,Box,Moving Images (1997-ref494),1.0 object,VHS cassette in original box sleeve,,,"Rutigliano, Bonita",,,
ref496,The Surveillance Show,2000,Box,Moving Images (2000-ref496),2.0 object,"VHS cassette in original box sleeve, Zip MAC100 disk in original plastic box",,,"Pesola, Steve",,,
ref498,Pixelface Labs,2000,Box,Moving Images (2000-ref498),1.0 object,VHS cassette in original box sleeve,Cassette label,"RoboSapien, Conversant Massage Chair, A Hay Named Moooo...","Pollex, Alessandro",,,
ref600,Cape Verde and our Identity,1997,Box,Moving Images (1997-ref600),1.0 object,VHS cassette in original box sleeve,,,"Robinson, Donald",,,
ref602,Words of Wisdom? : the Building on Seventh Street,1999,Box,Moving Images (1999-ref602),1.0 object,VHS cassette in original box sleeve,,,"Reifman, Katie",,,
ref604,Mirror II,2001,Box,Moving Images (2001-ref604),1.0 object,VHS cassette in original box sleeve,,,"Kim, Hyunhee",,,
ref606,Sounds and Stories,1998,Box,Moving Images (1998-ref606),1.0 object,VHS cassette in original box sleeve,,,"Lee, Sunmin",,,
ref608,The Nanzetta Legacy,1998,Box,Moving Images (1998-ref608),1.0 object,VHS cassette in original box sleeve,Cassette label,A Digital Docu/Drama,"Jefferson, Kristin",,,
ref610,Stanley Kubrick,1998,Box,Moving Images (1998-ref610),1.0 object,VHS cassette in original box sleeve,,,"Marshall, Caroline",,,
ref612,People of the Book,1991,Box,Moving Images (1991-ref612),1.0 object,VHS cassette in original box sleeve,,,"Lesch, Leah","Davis, Michael",,
ref614,Elena’s Magical Ride Interactive Children’s Storybook,1993,Box,Moving Images (1993-ref614),1.0 object,VHS cassette in original box sleeve,,,"Varsell, Lynn",,,
ref532,Digital Cinematography,2001,Box,Computer disks / tapes (2001-ref532),1.0 object,One CD-R in plastic jewel case,,,"Goldberg, Joseph",,,
ref616,The Portrait of Aaron Slobodj,2000,Box,Moving Images (2000-ref616),1.0 object,VHS cassette in original box sleeve,,,"Mota, Sofia",,,
ref618,Glimpse : a Mobility Aid for the Visually Impaired,1998,Box,Moving Images (1998-ref618),1.0 object,VHS cassette in original box sleeve,,,"Ram, Sunita",,,
ref620,Environmental Organizations Contextual Search Engine,1998,Box,Moving Images (1998-ref620),1.0 object,VHS cassette in original box sleeve,,,"Osborne, Dariane",,,
ref622,Animation Gallery,1991,Box,Moving Images (1991-ref622),2.0 object,"VHS cassette in original plastic sleeve, VHS cassette in original plastic box",,,"Pisacreta, Debbie",,,
ref624,Untitled Thesis (Jinhong Park),1994,Box,Moving Images (1994-ref624),1.0 object,VHS cassette in original box sleeve,,,"Park, Jinhong",,,
ref626,The Phases of Faultlines,1997,Box,Moving Images (1997-ref626),4.0 objects,,,,"Madelo, Adele",,,
ref628,Did You Dream Last Night?,1995,Box,Moving Images (1995-ref628),1.0 object,VHS cassette in original box sleeve,,,"Rosenbaum, Arthur",,,
ref700,Collaborative Immersive Networked Environment,2005,Box,Computer disks / tapes (2005-ref700),1.0 object,One CD-R in plastic jewel case,On disk,CINE www.studioIMC.com/CINE.html Jtunick@studioIMC.com,"Tunick, James","Kirov, Miro","Riley, Houston",
ref704,Clinton Street Portrait Web Project,2002,Box,Computer disks / tapes (2005-ref704),2.0 object,Two CD-R in original plastic jewel case,On disk,"One PC Formatted, one Mac Formatted","Culkin, James",,,
ref702,iMed: your healing channel,2002,Box,Computer disks / tapes (2002-ref702),1.0 object,One CD-R in original plastic jewel case,On label,"documents, prototype, fonts. prototype uses officina (included on disk), prototype requires quicktime","Cianfaglione, Ron",,,
ref706,Block Sequencer,2004,Box,Computer disks / tapes (2004-ref706),1.0 object,One CD-R in original plastic jewel case,,,"Lo Conte, Manlio",,,
ref710,Radical Roots,2002,Box,Computer disks / tapes (2002-ref710),1.0 object,One CD-R in original plastic jewel case,on label,radicalroots.com,"Siegel, Ross",,,
ref630,"""Explorers of the Ancient World: Egypt"" Designing for an Interactive 3D Virtual Space",2000,Box,Moving Images (2000-ref630),1.0 object,VHS cassette in original box sleeve,,,"Jensen, Sarah","Kelley, Jennifer","O, Allison",
ref632,Explosion of a Memory,1994,Box,Moving Images (1994-ref632),1.0 object,VHS cassette in original plastic sleeve,,,"Kassimatl, Nellika",,,
ref634,Not Just a Remote Control,1994,Box,Moving Images (1994-ref634),1.0 object,VHS cassette in original plastic box,,,"Lee, JunHee",,,
ref636,"Macromedia Director Program on the SAIL EXPO in Atlantic City, N.J.",1996,Box,Moving Images (1996-ref636),1.0 object,VHS cassette in original plastic box,,,"Kelly, John J",,,
ref534,Digital Non-Silver Processes,2000,Box,Computer disks / tapes (2000-ref534),1.0 object,One CD-R in plastic jewel case,,,"Shapoff, Matthew",,,
ref638,The World of Kostya Russian Artist in New York,1997,Box,Moving Images (1997-ref638),2.0 objects,"VHS cassette in original plastic box, VHS cassette in original plastic box",,,"Liu, Meng-Ju",,,
ref536,Modul-O-Tron,2007,Box,Computer disks / tapes (2007-ref536),1.0 object,One CD-R in plastic jewel case,,,"Coutau , Wendy",,,
ref538,Battle of the Somme,2000,Box,Computer disks / tapes (2000-ref538),1.0 objects,One CD-R in plastic jewel case,,,"Klein, Leo",,,
ref640,A Report on the Production of Bedfast: an interactive docudrama,1993,Box,Moving Images (1993-ref640),1.0 object,VHS cassette in original plastic box,,,"Velick, Deborah",,,
ref540,Garden Full of Energy,2006,box,Computer disks / tapes (2006-ref540),1.0 object,One CD-R in plastic jewel case,On disk,"Labeled ""The Sounds of VIruses"" but it also has ""thesis"", correct instructor and year.","Wechsler, Leah",,,
ref642,Pools: Liquid Interfaces for Interactive Telepresence,1996,Box,Moving Images (1996-ref642),1.0 object,VHS cassette in original plastic box,,,"Paulo Amaral Schlittler, Joao",,,
ref542,Projects (x - s) Time,2001,Box,Computer disks / tapes (2001-ref542),1.0 object,One CD-R in plastic jewel case,,,"Grimm, Jonathan",,,
ref708,Untitled Thesis (Phoebe Espiritu),2004,Box,Computer disks / tapes (2004-ref708),1.0 object,One CD-R in plastic jewel case,,,"Espiritu, Phoebe",,,
ref544,Annotate Space,2002,Box,Computer disks / tapes (2002-ref544),1.0 object,One CD-R in plastic jewel case,,,"Moed, Andrea",,,
ref546,The Wild Garden on a Remote Planet,2001,Box,Computer disks / tapes (2001-ref546),1.0 object,One CD-R in plastic jewel case,,,"Lovett, Cynthia",,,
ref712,Spatula of Death,2007,Box,Computer disks / tapes (2007-ref712),1.0 object,One CD-R in plastic jewel case,On disk,Spring '07 screening video info in txt file on cd,"Maskin, Andy",,,
ref714,Turtle's Escape: Exploring Traditional and Digital Techniques to Create Silhouette Animation,2004,Box,Computer disks / tapes (2004-ref714),1.0 object,One CD-R in original plastic jewel case,"On label, on disk","718-756-6508, apickman@creativegoals.com, A Jamaican Anansi Story","Pickman, Angela",,,
ref716,Molelo,2001,Box,Computer disks / tapes (2001-ref716),1.0 object,One CD-R in original plastic jewel case,,,"Brandt, Heidi","Derby, Dave",,
ref718,Marty B,1998,Box,Computer disks / tapes (1998-ref718),1.0 object,One CD-R in original plastic jewel case,On label,"Version 1a. instructions: turn volume high, insert CD-ROM and click on MartyB to begin. 253 West 72nd st #1510 New York, NY 10023 ph: 212-595-1738 email: zbalsam@kb.com","Balsam, Zoe",,,
ref720,Station,1998,Box,Computer disks / tapes (1998-ref720),1.0 object,One CD-R in original plastic jewel case,,,"Harms, Luke",,,
ref722,LINGOlingo - An Exploration into Custom Lingo Behaviours,2000,Box,Computer disks / tapes (2000-ref722),1.0 object,One CD-R in original plastic jewel case,,,"Chua, Edrick",,,
ref724,http://chiyidesign.com,2001,Box,Computer disks / tapes (2001-ref724),1.0 object,One CD-R in plastic jewel case,,,"Hsaiao, Chin-yi",,,
ref726,CacheMe: Technology for a Migrating Website,2004,Box,Computer disks / tapes (2004-ref726),1.0 object,One CD-R in plastic jewel case,,,"Chitturi, Vena",,,
ref728,3D ITP,2004,Box,Computer disks / tapes (2004-ref728),1.0 object,One CD-R in original plastic jewel case,,,"Maleh, Marc",,,
ref730,Cousteau,2007,Box,Computer disks / tapes (2007-ref730),1.0 object,One CD-R in plastic jewel case,,,"Arjo, Terence",,,
ref732,HyperAcoustics,1990,Box,Computer disks / tapes (1990-ref732),1.0 object,One 3.5” floppy disk in original case,,,"Kopke, Henrique",,,
ref734,Sushi CD-ROM Protoype,1994,Box,Computer disks / tapes (1994-ref734),1.0 object,One 3.5” floppy disk,,,"Lasar, Paul",,,
ref736,Fractals,1990,Box,Computer disks / tapes (1990-ref736),2.0 object,Two 3.5” floppy disk,,,"Wille, Mark",,,
ref738,Systems of Behavior,2001,Box,Computer disks / tapes (2001-ref738),1.0 object,One 3.5” floppy disk,,,"Cha, Raymond",,,
ref740,Computer Aided Instruction for the Hearing Impaired,1984,Box,Computer disks / tapes (1984-ref740),1.0 object,One 5 1/4” floppy disk in original sleeve,,,"Kosakoff, Kenneth",,,
ref742,Software Definition for the IAP Console,1988,Box,Computer disks / tapes (1988-ref742),1.0 object,One 5 1/4” floppy disk,on disk,"""RDEMO IAP""","Gomes, Charlene",,,
ref744,Development of an Electronic Bulletin Board for the Qube Cable System : A Strategy for Using Coin-Operated Public Computer Terminals,1981,Box,Computer disks / tapes (1981-ref744),1.0 object,One 5 1/4” floppy disk in original sleeve,on disk,2nd copy,"Price, Brenda",,,
ref746,The Video Manager: a personal computer database,1987,Box,Computer disks / tapes (1987-ref746),4.0 object,Four 5 1/4” floppy disk in plastic case,,,"Fisher, Ian",,,
ref748,WorldTalk: A Bulletin Board Service for Speakers of English as a Second Language ,1996,Box,Moving Images (1996-ref748),1.0 object,One Hi-8 video cassete in original case,,,"Lurie, Jenine",,,
ref750,Xochu - A Russian Internet Trademark,1997,Box,Moving Images (1997-ref750),1.0 object,One Hi-8 video cassete in original case,,,"Vinogradova, Vica",,,
ref752,Opticon,2000,Box,Moving Images (2000-ref752),1.0 object,One MiniDV in original case,,,"Lefett, Todd",,,
ref754,The Manhattan Eruv Project,2005,Box,Moving Images (2005-ref754),1.0 object,One MiniDV in original case,on disk,The Staten Island Ferry,"Malkin, Elliott",,,
ref756,Planet Interactive,1991,Box,Moving Images (1991-ref756),1.0 object,One VHS-C in original case,on label,Halli Thorst interacts ith his final project,"Thorsteinsson, Halli",,,
ref758,HTTP Proxy Server,1997,Box,Moving Images (1997-ref758),1.0 object,One VHS-C in original case,on disk,"April 30, 1997; Advisor: Pat O'Hara","Burke, Michelle",,,
ref760,Untitled Thesis (Alexander Baray),2003,Box,Moving Images (2003-ref760),1.0 object,One MiniDV in original case,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ref644,Strange Interactive: An Interactive Model for Educational Software and Design Internship with the Discovery Kids Channell,2004,Box,Computer disks / tapes (2004-ref644),1.0 object,One CD-R in plastic jewel case,,,"Jabbawy, Nathaniel",,,
ref646,Lifer Interactive audio CD-Rom,1996,Box,Computer disks / tapes (1996-ref646),1.0 object,One Enhanced Audio CD-R in plastic jewel case,,,"Berger, Richard",,,
ref648,You Are the Only Light in Your Tunnel,2001,Box,Computer disks / tapes (2001-ref648),1.0 object,One 3.5” Floppy Disk,,,"Suh, Dongsoo",,,
ref548,Using the Web as a Tool for Choral Singing Instruction,2001,Box,Computer disks / tapes (2001-ref548),1.0 object,One CD-R in plastic jewel case,,,"Pascua, Jocelyn",,,
ref550,Telling It Expressively,2000,Box,Computer disk / tapes (2000-ref550),1.0 object,One CD-R in plastic jewel case,,,"Zhang, Dong",,,
ref650,Jean Rouch: The Cinema of Shared Anthropology,2000,Box,Computer disks / tapes (2000-ref650),1.0 object,One CD-R in plastic jewel case,,,"Berry, Sarah",,,
ref552,Untitled Thesis (Larilyn Sanchez),2001,Box,Computer disks / tapes (2001-ref552),1.0 object,One CD-R in plastic jewel case,,,"Sanchez, Larilyn",,,
ref554,3-Apr-01,2001,Box,Computer disks / tapes (2001-ref554),1.0 object,One CD-R in plastic jewel case,,,"Cadsawan, Janet",,,
ref556,Shades of BLUE,1996,Box,Computer disks / tapes (1996-ref556),1.0 objectq,One CD-R in plastic jewel case,,,"Ettin, Scott",,,
ref654,Flies,2000,Box,Computer disks / tapes (2000-ref654),1.0 object,One CD-R in plastic jewel case,,,"Achituv, Romy",,,
ref652,Interpreting Art,2003,Box,Computer disks / tapes (2003-ref652),1.0 object,One CD-RW in plastic jewel case,,,"Kalra, Simrun",,,
ref656,Spice of Life,2003,Box,Computer disks / tapes (2003-ref656),1.0 object,One DVD-R in plastic jewel case,Post-it note,Media Error,"Muci, Rafael",,,
ref558,HandyAid: A Portable Device for Pediatric Emergencies,1999,Box,Computer disks / tapes (1999-ref558),1.0 object,One CD-R in plastic jewel case,On disk,Lizabetli Arum also credited as author,"Shavitt , Hilla",,,
ref560,Spherical Pendulum Music Project,2002,Box,Computer disks / tapes (2002-ref560),1.0 object,One CD-R in plastic jewel case,,,"Yu, Josh",,,
ref658,Untitled Thesis (Aaron Cohen),2001,Box,Computer disks / tapes (2001-ref658),1.0 object,One DVD-R in plastic jewel case,,,"Cohen, Aaron",,,
ref562,Untitled Thesis (Nancy Dwyer),2002,Box,Computer disks / tapes (2002-ref562),1.0 object,One CD-R in plastic jewel case,On sleeve,Noah Hendler also credited as author,"Dwyer, Nancy",,,
ref660,Annotated Review,1997,Box,Computer disks / tapes (1997-ref660),1.0 object,One CD-R in plastic jewel case,Jewel case insert,Booklet with thesis information,"Cavender, Lisa Natasha",,,
ref564,Untitled Thesis (Noah Hendler),2002,Box,Computer disks / tapes (2002-ref562),1.0 object,One CD-R in plastic jewel case,On sleeve,Nancy Dwyer also credited as author. Same physical disc as ref562,"Hendler, Noah",,,
ref662,6Octive Matrix: An Environmentally Interactive Sculpture,2005,Box,Computer disks / tapes (2005-ref662),1.0 object,Three CD-Rs in plastic jewel cases,Disk labels,"Disk 1: Visualizations in Maya, Disk 2: Videoscape Demo, Disk 3: Audio Soundscape Demo","Whittaker, Christine",,,
ref664,a.maze,1998,Box,Computer disks / tapes (1998-ref664),1.0 object,One CD-R in plastic jewel case,Post-it note,Digital videos of audio examples of amaze,"Chang, Sharon",,,
ref666,the arrival of the beeBox: an Exploration of Spatial Text,2003,Box,Computer disks / tapes (2003-ref666),1.0 object,One CD-R in plastic jewel case,,,"Karpinska, Aya",,,
ref668,Concoct : Connecting Professional Chefs through Food,2005,Box,Computer disks / tapes (2005-ref668),1.0 object,One CD-R in plastic jewel case,,,"Raffel, Daniel",,,
ref670,Interactive Origami,1999,Box,Computer disks / tapes (1999-ref670),1.0 object,One CD-R in plastic jewel case,,,"Brossier, Veronique",,,
ref672,MediChart,2000,Box,Computer disks / tapes (2000-ref672),1.0 object,One CD-R in plastic jewel case,,,"Song, Hyun Suk",,,
ref674,Ashes of Time,2002,Box,Computer disks / tapes (2002-ref674),1.0 object,One CD-R in plastic jewel case,,,"Wang, Pai-Huan",,,
ref676,Composition for Soft Wall,2002,Box,Computer disks / tapes (2002-ref676),1.0 object,One CD-R in plastic jewel case,,,"Harris, Wyllona M.",,,
ref678,CyberActive: A new and Improved Form of Democracy,1996,Box,Computer disks / tapes (1996-ref678),1.0 object,One CD-R in plastic jewel case,,,"Salsedo, Carlos",,,
ref680,Untitled Thesis (Bryn Jayes),1999,Box,Computer disks / tapes (1999-ref680),1.0 object,One CD-R in plastic jewel case,,,"Jayes, Bryn",,,
ref682,Astronomy,1995,Box,Computer disks / tapes (1995-ref682),1.0 object,One CD-R in plastic jewel case,,,"Han, Min Hyung",,,
ref684,Continuous Flow A New Type of Transition in Interactive Storytelling,2004,Box,Computer disks / tapes (2004-ref684),1.0 object,One CD-R in plastic jewel case,,,"Chen, Pei-Chen",,,
ref688,Beyond Production,1996,Box,Computer disks / tapes (1996-ref688),1.0 object,One CD-R in plastic jewel case,,,"Murata, Kaori",,,
ref692,"Untitled Thesis (Beams, Mary)",XXXX,Box,Computer disks / tapes (XXXX-ref692),1.0 object,One 5 1/4” floppy disk in original sleeve,,,"Beams, Mary",,,
ref694,network/culture,2000,Box,Computer disks / tapes (2000-ref694),1.0 object,One Zip MAC100 disk in original plastic box,,,"Inbal, Ainatte",,,
ref696,RadioResidents Website,2000,Box,Computer disks / tapes (2000-ref696),1.0 object,One ZIP IBM100 disk in original plastic box,,,"Spector, Deborah",,,
ref698,Personal Trainer Website,1999,Box,Computer disks / tapes (1999-ref698),1.0 object,One ZIP IBM100 disk in original plastic box,,,"Chin, David",,,
ref800,In the Small Pond,2002,Box,Computer disks ,1.0 object,One Zip MAC100 disk in original plastic box,Plastic box label,Please put this zip into Mac. A letter and my Thesis in english in it. Please open “Dear Red” first,"Hamazaki, Kumi",,,
ref802,MusicNet,1996,Box,Computer disks / tapes (1996-ref802),3.0 objects,3 Zip 100 disks in original plastic box,,,"Walker, Joseph",,,
ref804,Untitled Thesis (Carol Keller),XXXX,Box,Computer disks / tapes (XXXX-ref804),1.0 object,One Zip 100 disk in original plastic box,,,"Keller, Carol",,,
ref806,Heist,2001,Box,Computer disks / tapes (2001-ref806),1.0 object,One Zip MAC100 disk in original plastic box,,,"Kim, Lloyd","Tung, Michelle","Shah, Preeti","Jam, Henery"
ref808,Choon-Hyang Jun,1999,Box,Computer disks / tapes (1999-ref808),2.0 object,"One Zip IBM100 disk in original plastic box, Two Zip 100 disk","Zip 100 disk label 1, Zip 100 disk label 2","QTVR-Part I, QTVR-Part II","Chung, Suehyun",,,
ref810,The Observatory: A Collaborative Fiction Web Site,1997,Box,Computer Disks / tapes (1997-ref810),1.0 object,One Zip 100 disk in original plastic box,,,"Vance, Stuart Cameron ",,,
ref812,Untitled Thesis (Jessica Millstone),1997,Box,Computer disks / tapes (1997-ref812),1.0 object,One Zip 100 disk,,,"Millstone, Jessica",,,
ref814,The Family Archive Project,1996,Box,Computer disks / tapes (1996-ref814),1.0 object,One 3.5” floppy disk,"3.5"" floppy disk label",Web Site Docs Open Index.html,"Tardiff, Melissa",,,
ref816,Untitled Thesis (Lisa Powers),1997,Box,Computer disks / tapes (1997-ref816),1.0 object,One Zip 100 disk,,,"Powers, Lisa",,,
ref818,Puppet Theater,1997,Box,Computer disks / tapes (1997-ref818),1.0 object,One Zip 100 disk,,,"Matazzoni, Joe",,,
ref820,I-Guide,2000,Box,Computer disks / tapes (2000-ref820),1.0 object,One Zip MAC100 disk in original plastic box,,,"Cuyler, Joele","Chia, Yung-Hee",,
ref822,Those Who are about to be Forgiven have not yet been Born,1999,Box,Computer disks / tapes (1999-ref822),1.0 object,One Zip 100 disk in original plastic box,,,"Coles, Britt",,,
ref824,Beam of Light: An Interactive 3D Scanner,2000,Box,Computer disks / tapes (2000-ref824),1.0 object,One ZIP PC100 disk in original plastic box,,,"Yaar, Arnon",,,
ref826,B.J. Broadcast Jockey V.J. Video Jockey,2000,Box,Computer disks / tapes (2000-ref826),1.0 object,One Zip MAC100 disk in original plastic box,Zip MAC100 disk label,quicktime loops,"Juan de la Cruz Napoli, René",,,
